reduced_sent,original_sent,page_title
Primeira fase da Copa gerou mais de 300 milhões de mensagens no Twitter.,"A primeira fase da Copa do Mundo no Brasil , encerrada na quinta-feira ( 26 ) , gerou mais de 300 milhões de mensagens no Twitter , informou a rede social nesta sexta ( 27 ) .",primeira-fase-da-copa-gerou-mais-de-300-milhoes-de-mensagens-no-twitter.html
Banda do Corpo de Fuzileiros Navais se apresenta em Juiz de Fora.,A Banda Marcial do Corpo de Fuzileiros Navais do Rio de Janeiro se apresenta nesta quarta-feira ( 30 ) no Cine-Theatro Central em Juiz de Fora.,banda-do-corpo-de-fuzileiros-navais-se-apresenta-em-juiz-de-fora.html
Bebês recém-nascidos tomam vacina em hospital na China.,"Bebês recém-nascidos tomam vacina em um hospital de Aksu , na China , nesta sexta-feira ( 10 ) .",bebes-recem-nascidos-tomam-vacina-em-hospital-na-china.html
Três pessoas morreram afogadas em duas semanas no Sudoeste de Goiás.,"Três pessoas morreram afogadas , em duas semanas , no mês de novembro deste ano , em Rio Verde , no Sudoeste de Goiás.",tres-pessoas-morrem-afogadas-em-duas-semanas-no-sudoeste-de-goias.html
Espetáculo ' Escavadores' entra em cartaz no teatro Martim Gonçalves.,"O espetáculo ' Escavadores' entra em cartaz no dia 19 de junho , no Teatro Martim Gonçalves , na Escola de Teatro da UFBA , no bairro do Canela , em Salvador.",espetaculo-escavadores-entra-em-cartaz-no-teatro-martim-goncalves.html
Controladoria-Geral da União encerra inscrições para 250 vagas.,A Controladoria-Geral da União ( CGU ) encerra neste domingo ( 6 ) as inscrições do concurso para 250 vagas de analista de finanças e controle.,controladoria-geral-da-uniao-encerra-inscricoes-para-250-vagas.html
São Luís é a capital nordestina com o menor consumo de feijão.,Uma pesquisa recente do Ministério da Saúde revelou que São Luís é a capital nordestina com o menor consumo de feijão.,sao-luis-e-capital-nordestina-com-o-menor-consumo-de-feijao.html
Presidente Prudente soma 17 casos de leishmaniose em cães.,Presidente Prudente soma 17 casos de leishmaniose visceral americana em cães neste ano.,presidente-prudente-soma-17-casos-de-leishmaniose-em-caes.html
Inscrições para concurso de redação do Círio serão abertas na segunda.,As inscrições para a vigésima edição do Concurso de Redação do Círio serão abertas na próxima segunda-feira ( 1º ) .,inscricoes-para-concurso-de-redacao-do-cirio-serao-abertas-na-segunda.html
Bovespa opera em alta nesta terça-feira.,A Bolsa de Valores de São Paulo ( Bovespa ) opera em alta nesta terça-feira ( 18 ) .,bovespa-opera-em-alta-nesta-terca-feira18.html
Universidade Virtual de Roraima abre inscrições para cursos a distância.,A Universidade Virtual de Roraima por meio do Programa Nacional de Tecnologia Educacional abre inscrições para cursos na modalidade de Educação a Distância ( EaD ) .,universidade-virtual-de-roraima-abre-inscricoes-para-cursos-distancia.html
Prefeitura de Teodoro Sampaio ( BA ) encerra inscrições para 80 vagas.,"A Prefeitura de Teodoro Sampaio ( BA ) encerra nesta sexta-feira ( 16 ) as inscrições do concurso público para 80 vagas em cargos de nível fundamental , médio e superior.",prefeitura-de-teodoro-sampaio-ba-encerra-inscricoes-para-80-vagas.html
Obras do terminal de Antônio Bezerra serão retomadas nesta segunda-feira.,As obras do   Terminal de Antônio Bezerra serão retomadas nesta segunda-feira ( 4 ) .,obras-do-terminal-de-antonio-bezerra-serao-retomadas.html
Lucinnha Bastos apresenta show ' Mulher' no Sesc Boulevard.,"Cantora premiada em festivais no Pará e em Minas Gerais e com vários CDs e LPs gravados , Lucinnha Bastos apresenta neste domingo ( 9 ) , às 19h , o show ' Mulher' , no palco do Centro Cultural Sesc Boulevard , em Belém .",lucinnha-bastos-apresenta-show-mulher-no-sesc-boulevard.html
Confira a programação de coletas do Cidade Limpa 2015 em Macatuba.,Confira abaixo a programação de coletas do Cidade Limpa 2015 em Macatuba.,confira-programacao-de-coletas-do-cidade-limpa-2015-em-macatuba.html
Professores da UFCG paralisam atividades nesta quinta-feira.,Os professores da Universidade Federal de Campina Grande ( UFCG ) paralisam suas atividades nesta quinta-feira ( 14 ) .,professores-da-ufcg-paralisam-atividades-nesta-quinta-feira.html
Abertas as inscrições para o I Congresso Paraense de Direito.,"Estão abertas as inscrições para o I Congresso Paraense de Direito - Os Desafios do novo CPC ( Código de Processo Civil ) , que será realizado nesta sexta-feira ( 24 ) e domingo ( 25 ) , no Centro de Convenções de Unicred Belém.",abertas-inscricoes-para-o-i-congresso-paraense-de-direito.html
Mais um cavalo pertencente ao CCZ de Presidente Prudente é furtado.,"Mais um cavalo pertencente ao Centro Controle de Zoonoses ( CCZ ) de Presidente Prudente , é furtado.",mais-um-cavalo-pertencente-ao-ccz-de-presidente-prudente-e-furtado.html
"Incêndio atinge prédio no Leblon , Zona Sul do Rio.","Um incêndio atinge o 5º andar de um prédio na Rua Dias Ferreira , nº 15, esquina com Avenida Ataulfo de Paiva , no Leblon , Zona Sul do Rio de Janeiro , na tarde desta segunda-feira ( 23 ) .",incendio-atinge-predio-no-leblon-zona-sul-do-rio.html
Quarta-feira será de sol entre nuvens em todas as regiões de Santa Catarina.,"Esta quarta-feira ( 1 ) será de sol entre nuvens em todas as regiões de Santa Catarina , segundo a Epagri/Ciram , por causa de uma massa de ar seco.",quinta-feira-sera-de-sol-entre-nuvens-em-todas-regioes-de-santa-catarina.html
Prefeitura de Campinas ( SP ) encerra inscrições para 29 vagas.,"A Prefeitura de Campinas ( SP ) encerra neste domingo ( 15 ) as inscrições do concurso público para 29 vagas em cargos de nível fundamental , médio e superior.",prefeitura-de-campinas-sp-encerra-inscricoes-para-29-vagas.html
Comissão do Senado vai entrar com representação contra juiz de Minas.,"A presidente da Comissão de Direitos Humanos do Senado ( CDH ) , senadora Ana Rita ( PT-ES ) , afirmou na manhã desta quinta-feira ( 9 ) em audiência publica no Senado , que vai entrar com um representação contra o juiz da Vara de Conflitos Agrários de Minas Gerais , Octávio de Almeida Neves , no Conselho Nacional de Justiça ( CNJ ) .",comissao-do-senado-vai-entrar-com-representacao-contra-juiz-de-minas.html
Problema genético deixa gata constantemente com fisionomia triste.,Um problema genético deixa uma gata constantemente com fisionomia triste.,problema-genetico-deixa-gata-constantemente-com-fisionomia-triste.html
Ônibus pega fogo na Zona Oeste do Rio.,"Um ônibus pega fogo na manhã desta quarta-feira ( 15 ) numa pista lateral à Avenida Brasil , na altura de Realengo , na Zona Oeste do Rio.",onibus-pega-fogo-na-zona-oeste-do-rio1.html
Prefeitura de Bauru ( SP ) oferece cursos gratuitos.,A Prefeitura de Bauru ( SP ) oferece dois cursos profissionalizantes gratuitos por meio de uma parceria com a iniciativa privada.,prefeitura-de-bauru-sp-oferece-cursos-gratuitos.html
Arte Pará encerra inscrições na próxima quinta-feira.,"A 33ª edição do Arte Pará encerra as inscrições na próxima quinta-feira ( 11 ) para a participação de artistas de todo o Brasil e estrangeiros , no maior concurso de artes da região.",arte-para-encerra-inscricoes-na-proxima-quinta-feira.html
Abertas inscrições para mestrado e doutorado do CIn da UFPE.,Estão abertas as inscrições para a seleção de novas turmas de mestrado e doutorado do Centro de Informática ( CIn ) da UFPE.,abertas-inscricoes-para-mestrado-e-doutorado-do-cin-da-ufpe.html
Prefeitura do Rio de Janeiro abre inscrições para 200 vagas.,A Prefeitura do Rio de Janeiro abre nesta terça-feira ( 30 ) as inscrições para dois editais de concursos públicos para 200 vagas de professores.,prefeitura-do-rio-de-janeiro-abre-inscricoes-para-200-vagas.html
Ex-presidente liberiano Taylor cumprirá pena no Reino Unido.,"O ex-presidente liberiano Charles Taylor , condenado a 50 anos de prisão por crimes contra a humanidade , cumprirá sua pena no Reino Unido , anunciou nesta quinta-feira o ministério da Justiça britânico.",ex-presidente-liberiano-taylor-cumprira-pena-no-reino-unido.html
Exposição Agropecuária de Cacoal ( RO ) começa nesta quarta-feira.,"Já estão sendo organizados os últimos preparativos dentro do parque para o início da 15ª edição da Exposição Agropecuária de Cacoal ( RO ) , que começa nesta quarta-feira ( 7 ) .",exposicao-agropecuaria-de-cacoal-ro-comeca-nesta-quarta-feira.html
Moradores de Ferraz de Vasconcelos estão há 20 dias sem coleta de lixo.,"Moradores de Ferraz de Vasconcelos , na Grande São Paulo , estão há 20 dias sem coleta de lixo.",moradores-de-ferraz-de-vasconcelos-estao-ha-20-dias-sem-coleta-de-lixo.html
Ex-presidente peruano Fujimori está otimista com possível indulto.,"O ex-presidente peruano Alberto Fujimori , que está preso por violação dos direitos humanos , mostrou-se otimista com a concessão de um possível indulto humanitário pelo governo , de acordo com uma gravação divulgada no sábado ( 1º ) por uma rádio local.",ex-presidente-peruano-fujimori-esta-otimista-com-possivel-indulto.html
Instituto de Previdência de Vitória encerra inscrições para 11 vagas.,O Instituto de Previdência e Assistência dos Servidores do Município de Vitória ( IPAMV ) encerra neste domingo ( 19 ) as inscrições do concurso para 11 vagas em cargos de nível médio e superior.,instituto-de-previdencia-de-vitoria-encerra-inscricoes-para-11-vagas.html
Unidade móvel do Procon estará no Bairro Marta Helena em Uberlândia.,"Neste domingo ( 27 ) , a unidade móvel da Superintendência de Proteção e Defesa do Consumidor ( Procon ) estará com uma equipe de atendimento no Bairro Marta Helena , em Uberlândia.",unidade-movel-do-procon-estara-no-bairro-marta-helena-em-uberlandia.html
Aberta oficialmente a temporada de veraneio na Praia do Cacau.,Aberta oficialmente nesse domingo ( 29 ) a temporada de veraneio na Praia do Cacau.,aberta-oficialmente-temporada-de-veraneio-na-praia-do-cacau.html
Greve dos professores da UFMA já dura três meses.,A greve dos professores da Universidade Federal do Maranhão ( UFMA ) já dura três meses.,greve-dos-professores-da-ufma-ja-dura-tres-meses.html
São Sebastião recebe 17ª edição do Litoral Dance Festival.,"A cidade de São Sebastião , litoral norte de São Paulo , recebe a 17ª edição do Litoral Dance Festival , maior evento de dança da região.",sao-sebastiao-recebe-17-edicao-do-litoral-dance-festival.html
Flautista faz apresentação para pais e filhos neste sábado em Sorocaba.,"O flautista Rafael Beck faz uma apresentação voltada para pais e filhos neste sábado ( 26 ) , às 11h30, em Sorocaba ( SP ) .",flautista-faz-apresentacao-para-pais-e-filhos-neste-sabado-em-sorocaba.html
"Emprega São Paulo oferece 2,107 vagas para Sorocaba e região.","O programa Emprega São Paulo/Mais Emprego oferece nesta semana   2,107 vagas de trabalho divididas entre as áreas de agricultura , construção civil , indústria , entre outras , para Sorocaba ( SP ) e região.",emprega-sao-paulo-oferece-2107-vagas-para-sorocaba-e-regiao.html
Dólar opera perto da estabilidade nesta quarta-feira.,O dólar comercial opera perto da estabilidade nesta quarta-feira ( 2 ) .,dolar-opera-perto-da-estabilidade-nesta-quarta-feira02.html
Filme ' As invasões bárbaras' será exibido gratuitamente em Cuiabá .,"O filme ' As invasões bárbaras' será exibido gratuitamente nesta terça-feira ( 11 ) , às 19h no Cine Sesc Arsenal , em Cuiabá .",filme-invasoes-barbaras-sera-exibido-gratuitamente-em-cuiaba.html
Arujá deve receber mais médicos estrangeiros até fevereiro.,Arujá deve receber mais sete médicos estrangeiros até fevereiro.,aruja-deve-receber-mais-medicos-estrangeiros-ate-fevereiro.html
Prefeitura de Monte Mor ( SP ) encerra inscrições para 140 vagas.,"A Prefeitura de Monte Mor ( SP ) encerra nesta quarta-feira ( 8 ) as inscrições de quatro editais de concursos públicos para 140 vagas em cargos de nível fundamental , médio e superior.",prefeitura-de-monte-mor-sp-encerra-inscricoes-para-140-vagas.html
Gabarito do concurso do TCE- AM deve ser divulgado nesta segunda ( 10 ) .,O gabarito do concurso público do Tribunal de Contas do Estado do Amazonas ( TCE-AM ) deve ser divulgado nesta segunda-feira ( 10 ) .,gabarito-do-concurso-do-tce-am-deve-ser-divulgado-nesta-segunda-10.html
Jovens foram autuados por manobras perigosas e liberados.,"Os jovens presos neste sábado ( 30 ) por fechar rua para fazer ' zerinho' , em uma área rural de Campo Grande , na saída para Três Lagoas , foram autuados em flagrante por manobras perigosas , assinaram termo de compromisso de comparecimento à Justiça e foram liberados.",jovens-foram-autuados-por-manobras-perigosas-e-liberados.html
"Marcelo Camelo faz estreia de turnê no dia 20 de julho , em Salvador.","Marcelo Camelo faz a estreia de sua nova turnê , ' Mormaço' , no dia 20 de julho , em Salvador.",marcelo-camelo-faz-estreia-de-turne-no-dia-20-de-julho-em-salvador.html
Dez cidades da região de Marília devem receber recursos do governo.,Dez cidades da região de Marília com Índice de Desenvolvimento Humano ( IDH ) baixo devem receber recursos do governo do Estado de São Paulo através do programa São Paulo Solidário.,dez-cidades-da-regiao-de-marilia-devem-receber-recursos-do-governo.html
Confira onde estarão os radares em Rio Preto ( SP ) nesta terça-feira.,Confira onde estarão os radares móveis em São José do Rio Preto ( SP ) nesta terça-feira ( 19 ) .,confira-onde-estarao-os-radares-em-rio-preto-sp-nesta-terca-feira1902.html
"Bruno Maranhão , um dos fundadores do PT , está internado no Recife.","O militante Bruno Albuquerque Maranhão , de 74 anos , um dos fundadores do Partido dos Trabalhadores ( PT ) e um dos líderes do Movimento de Libertação dos Sem-terra ( MLST ) , está internado no Memorial São José , no Recife.",bruno-maranhao-um-dos-fundadores-do-pt-esta-internado-no-recife.html
Exposição em Paris explora a história do cabelo.,Uma exposição em Paris explora a história e a importância do cabelo em várias épocas.,exposicao-em-paris-explora-a-historia-do-cabelo.html
RJ-116 espera receber 120 mil veículos durante feriado prolongado.,"A RJ-116 ( Itaboraí - Nova Friburgo - Macuco ) espera receber um fluxo de 120 mil veículos durante o feriado prolongado em comemoração ao Dia do Trabalho , comemorado nesta quinta-feira ( 1º ) .",rj-116-espera-receber-120-mil-veiculos-durante-feriado-prolongado.html
Clube Internacional de Regatas de Santos realiza festa junina.,"O Clube Internacional de Regatas de Santos , no litoral de São Paulo , realiza entre os dias 21 e 23 de junho , a tradicional festa junina na área social.",clube-internacional-de-regatas-de-santos-realiza-festa-junina.html
Eleitores de São Roque já podem fazer cadastramento biométrico.,Os eleitores de São Roque ( SP ) já podem fazer o cadastramento biométrico para a próxima eleição.,eleitores-de-sao-roque-ja-podem-fazer-cadastramento-biometrico.html
Meryl Streep vai presidir júri do Festival de Cinema de Berlim de 2016.,"Meryl Streep vai presidir o júri do 66º Festival Internacional de Cinema de Berlim em fevereiro de 2016, anunciou a organização do evento nesta quarta-feira ( 14 ) .",meryl-streep-vai-presidir-juri-do-festival-de-cinema-de-berlim-de-2016.html
Prefeitura de Ouro Fino ( MG ) abre inscrições para 138 vagas.,"A Prefeitura de Ouro Fino ( MG ) abre nesta quarta-feira ( 11 ) as inscrições do concurso e do processo seletivo para 138 vagas em cargos de nível fundamental completo e incompleto , médio e superior.",prefeitura-de-ouro-fino-mg-abre-inscricoes-para-138-vagas.html
Dólar opera em baixa após fechar em queda na véspera.,"O dólar opera em baixa nesta quarta-feira ( 27 ) , após fechar em queda na véspera e chegar a R$ 2,2642.",dolar-opera-em-baixa-apos-fechar-em-queda-na-vespera.html
"Após falhas e reclamações , game ' SimCity' pode ganhar modo off-line.","Após um lançamento turbulento em março , com várias falhas e reclamações , o game de construção de cidades ' SimCity' enfim pode ganhar um modo off-line , que não exige conexão à internet.",apos-falhas-e-reclamacoes-game-simcity-pode-ganhar-modo-line.html
Inscrições para cursos da UFU terminam nesta terça-feira.,As inscrições para quem pretende ingressar nos cursos com habilidade específica da Universidade Federal de Uberlândia ( UFU ) terminam nesta terça-feira ( 3 ) .,inscricoes-para-cursos-da-ufu-terminam-nesta-terca-feira.html
Feira de Sergipe está sendo realizada na orla de Aracaju.,"A 14ª   edição da Feira de Sergipe está sendo realizada na Praça de Eventos da Orla de Atalaia , em Aracaju.",feira-de-sergipe-esta-sendo-realizada-na-orla-de-aracaju.html
Prefeitura do Rio abre inscrições para 100 vagas de professor.,A Prefeitura do Rio de Janeiro abre nesta terça-feira ( 13 ) as inscrições do concurso para 100 vagas de professor de ensino religioso.,prefeitura-do-rio-abre-inscricoes-para-100-vagas-de-professor.html
Mostra de Cinema boliviano começa nesta segunda em Campo Grande.,"A Mostra de Cinema Boliviano que começa nesta segunda-feira ( 13 ) e segue até o dia 17 de agosto no Museu da Imagem e do Som ( MIS ) em Campo Grande.   Serão cinco filmes exibidos durante a semana ,   que celebram a independência boliviana , comemorada no dia 6 de agosto.",mostra-de-cinema-boliviano-comeca-nesta-segunda-em-campo-grande.html
Ingressos para o ' Festival Promessas Minas' estão esgotados.,"Os ingressos para o ' Festival Promessas Minas' , em Belo Horizonte , estão esgotados.",ingressos-para-o-festival-promessas-minas-estao-esgotados.html
Única unidade de coleta de leite de São José dos Pinhais será fechada.,"A única unidade de coleta de leite materno de São José dos Pinhais , na Região Metropolitana de Curitiba , será fechada na sexta-feira ( 31 ) .",unica-unidade-de-coleta-de-leite-de-sao-jose-dos-pinhais-sera-fechada.html
Prefeitura de Jacareí oferece 720 vagas para modalidades esportivas.,A Prefeitura de Jacareí oferece 720 vagas para aulas de iniciação em 11 modalidades esportivas para crianças e adolescentes da cidade.,prefeitura-de-jacarei-oferece-720-vagas-para-modalidades-esportivas.html
Presídios de Rondônia passam a ser controlados pela Polícia Militar.,Todos os presídios do Estado de Rondônia passam a ser controlados pela Polícia Militar.,presidios-de-rondonia-passam-ser-controlados-pela-policia-militar.html
"Grupo de teatro de Capelinha , Anim' Art se apresenta em Belo Horizonte.","Neste domingo ( 30 ) , o grupo de teatro de Capelinha ,   Anim' Art se apresenta às 10 horas , no Parque Municipal , em Belo Horizonte.",grupo-de-teatro-de-capelinha-anim-art-se-apresenta-em-belo-horizonte.html
Vídeo mostra búfalos salvando companheiro atacado por leoas.,"Um vídeo incrível feito no Parque Nacional Kruger , na África do Sul , mostra uma manada de búfalos salvando um companheiro que havia sido atacado por leoas.",video-mostra-bufalos-salvando-companheiro-atacado-por-leoas.html
Etec de Presidente Prudente realiza processo seletivo para docentes.,"A Escola Técnica Estadual ( Etec ) Professor Doutor Antônio Eufrásio de Toledo , em Presidente Prudente , realiza um processo seletivo para docentes em diversas disciplinas com interesse em integrar um cadastro reserva.",etec-de-presidente-prudente-realiza-processo-seletivo-para-docentes.html
Incêndio atinge escola na Zona Sul do Rio.,"Um incêndio atinge uma escola municipal em Ipanema , na Zona Sul do Rio , na manhã desta quarta-feira ( 28 ) .",incendio-atinge-escola-na-zona-sul-do-rio.html
Caprichoso realiza última edição do Boi de Rua antes do Festival.,O Caprichoso realiza a última edição do Boi de Rua antes do Festival Folclórico de Parintinsna próxima segunda-feira ( 25 ) .,caprichoso-realiza-ultima-edicao-do-boi-de-rua-antes-do-festival.html
Dois jovens seguem internados em estado grave após acidente na SP-50.,"Dois jovens seguem internados em estado grave nesta quinta-feira ( 16 ) após o acidente envolvendo dois ônibus na SP-50, que liga São José dos Campos a Monteiro Lobato.",dois-jovens-seguem-internados-em-estado-grave-apos-acidente-na-sp-50.html
Novo radar entrará em funcionamento em Juiz de Fora.,Um novo radar entrará em funcionamento em Juiz de Fora a   partir de 11 de setembro.,novo-radar-entrara-em-funcionamento-em-juiz-de-fora.html
Baile da Cidade encerrou festividades pelos 240 anos de Porto Alegre.,A 23ª edição do tradicional Baile da Cidade reuniu milhares de pessoas sábado ( 31 ) à noite no Parque da Redenção e encerrou as festividades pelos 240 anos da cidade de Porto Alegre.,baile-da-cidade-encerrou-festividades-pelos-240-anos-de-porto-alegre.html
Greve dos professores e funcionários estaduais do Paraná chega ao 29º dia.,A greve dos professores e funcionários estaduais do Paraná chega ao 29º dia nesta segunda-feira ( 9 ) .,greve-dos-professores-e-funcionarios-estaduais-do-parana-chega-ao-29-dia.html
Moradores do Antônio Cassimiro cobram retirada de postes de energia.,"Moradores da Rua 12 do bairro Antônio Cassimiro 1, na Zona Norte de Petrolina , no Sertão de Pernambuco , cobram a retirada de postes de energia que estão localizados dentro da área que pertence as residências.",moradores-do-antonio-cassimiro-cobram-retirada-de-postes-de-energia.html
Bovespa opera em alta nesta segunda.,"O principal índice da Bolsa de Valores de São Paulo ( Bovespa ) opera em alta nesta segunda-feira ( 16 ) , na esteira dos principais mercados acionários internaionais , que reagiam   positivamente à decisão de Lawrence Summers de deixar a corrida para comandar o Federal Reserve , banco cenctral norte-americano.",bovespa-opera-em-alta-nesta-segunda16092013.html
Clube América corre risco de perder a sede na Zona Norte do Recife.,"O centenário clube de futebol pernambucano América corre o risco de perder a sede que fica na Estrada do Arraial , em Casa Amarela , na Zona Norte do Recife.",clube-america-corre-risco-de-perder-sede-na-zona-norte-do-recife.html
Sociólogo francês Olivier Mongin faz palestra gratuita na Unicamp.,"O sociólogo francês Olivier Mongin faz palestra gratuita na Universidade Estadual de Campinas ( Unicamp ) , no auditório da biblioteca central do campus de Barão Geraldo , em Campinas ( SP ) , nesta quinta-feira ( 7 ) .",sociologo-frances-olivier-mongin-faz-palestra-gratuita-na-unicamp.html
Beto Mansur ( PP-SP ) .,"O deputado federal Beto Mansur ( PP-SP ) responde por crime de responsabilidade no Supremo Tribunal Federal ( STF ) , onde tramita o inquérito 3016.",beto-mansur-pp-sp.html
Missa antecede a grande procissão do Círio de Nazaré em Belém.,"Iniciou às 5h30 deste domingo ( 13 ) , na Catedral da Sé , a tradicional missa que antecede a grande procissão do Círio de Nazaré , em Belém.",missa-antecede-grande-procissao-do-cirio-de-nazare-em-belem.html
Cardápio do SWU tem carne de soja louca e pão de beijo.,"No cardápio do SWU 2011, tem carne de soja louca e pão de beijo.",cardapio-do-swu-tem-carne-de-soja-louca-e-pao-de-beijo.html
Piauienses não medem esforços para participarem do Rock in Rio.,"Às vésperas de uns dos maiores festivais de rock do mundo , muitos piauienses não medem esforços para participarem da 13ª edição do Rock in Rio.",piauienses-nao-medem-esforcos-para-participarem-do-rock-rio.html
Conselho Municipal de Educação de Nova Friburgo elegeu nova diretoria.,"O Conselho Municipal de Educação de Nova Friburgo ( CME ) , Região Serrana do Rio , elegeu sua nova diretoria na Câmara Municipal.",conselho-municipal-de-educacao-de-nova-friburgo-elegeu-nova-diretoria.html
Cemitérios de João Pessoa terão programação no Dia das Mães.,"Os cemitérios públicos de João Pessoa terão uma programação composta de ações educativas e missas no próximo domingo ( 10 ) , quando é comemorado o Dia das Mães.",cemiterios-de-joao-pessoa-terao-programacao-no-dia-das-maes.html
Polícia investiga desaparecimento de dois jovens em Campo Grande.,"Polícia Civil investiga o desaparecimento de dois jovens , um de 18 e outro de 19 anos , na noite desta quinta-feira ( 30 ) em Campo Grande.",policia-investiga-desaparecimento-de-dois-jovens-em-campo-grande.html
Camerata se apresenta nesta segunda-feira em Salto.,"A Camerata do Conservatório Municipal Maestro Henrique Castellari se apresenta nesta segunda-feira ( 26 ) , às 18h30, em Salto ( SP ) .",camerata-se-apresenta-nesta-segunda-feira-em-salto.html
PAT de Arujá tem 63 vagas de emprego.,O Posto de Atendimento ao Trabalhador ( PAT ) de Arujá tem 63 vagas de emprego nesta semana.,pat-de-aruja-tem-63-vagas-de-emprego.html
Outdoor no Peru transforma ar em água potável.,"Um outdoor nos arredores de Lima , no Peru , transforma ar em água potável.",outdoor-no-peru-transforma-ar-em-agua-potavel.html
Dólar opera em queda nesta terça-feira.,"O dólar comercial opera em queda nesta terça-feira ( 3 ) , refletindo o maior apetite por risco no exterior em meio a dados positivos de importantes economias.",dolar-opera-em-queda-nesta-terca-feira3.html
TIM defende compartilhamento de redes para banda larga no Brasil.,"O presidente da TIM Participações , Luca Luciani , reuniu-se na terça-feira ( 8 ) com o ministro das Comunicações , Paulo Bernardo , para apresentar um estudo em que a operadora de telefonia defende o compartilhamento da infraestrutura de redes para fomentar o uso da banda larga no Brasil.",tim-defende-compartilhamento-de-redes-para-banda-larga-no-brasil.html
Lindsay Lohan será julgada em 18 de março por mentir para a polícia.,"A problemática atriz americana Lindsay Lohan será julgada em 18 de março por supostamente mentir para a polícia após um acidente de trânsito que protagonizou em junho , anunciou esta quarta-feira ( 30 ) o Tribunal Superior de Los Angeles.",lindsay-lohan-sera-julgada-em-18-de-marco-por-mentir-para-policia-1.html
Exames que detectam tuberculose estão suspensos por falta de material.,Os exames que detectam tuberculose estão suspensos no Piauí por falta de material essencial para realização do teste na rede pública.,exames-que-detectam-tuberculose-estao-suspensos-por-falta-de-produto.html
"Mesmo com o comércio aquecido , sobram vagas de trabalho em Goiânia.","Mesmo com a chegada das festas de fim de ano e com o comércio aquecido , sobram vagas de trabalho temporário em Goiânia.",mesmo-com-o-comercio-aquecido-sobram-vagas-de-trabalho-em-goiania.html
Enade 2014 será aplicado no dia 23 de novembro.,"O Exame Nacional de Desempenho de Estudantes ( Enade ) 2014 será aplicado no dia 23 de novembro , às 13h ( horário de Brasília ) .",enade-2014-sera-aplicado-no-dia-23-de-novembro.html
Hemose necessita de doadores de sangue.,"O Centro de Hemoterapia de Sergipe ( Hemose ) , responsável pelo abastecimento de sangue dos hospitais e maternidades públicas do Estado , necessita de doadores de sangue do tipo A , B , O e AB negativo.",hemose-necessita-de-doadores-de-sangue.html
"Serraria , no Brejo da Paraíba , recebe Festival Sons e Sabores.","A cidade de Serraria , no Brejo da Paraíba , recebe a partir desta sexta ( 29 ) o festival de gastrononia e música Sons e Sabores do Brejo.",serraria-no-brejo-da-paraiba-recebe-festival-sons-e-sabores.html
